ID	DOMES	Date	B	L	Helips	Hnorm	ZTD	mZTD	GradN	GradE	mGradN	mGradE
CNIV	15501M001	2020-07-07 00:00:00.0	51.51894	31.31361	175.924	151.174	2,427.1	1.4	1.03	-3.12	0.18	0.19
CNIV	15501M001	2020-07-07 00:30:00.0	51.51894	31.31361	175.924	151.174	2,430.5	1.5	1.08	-1.78	0.18	0.21
CNIV	15501M001	2020-07-07 01:00:00.0	51.51894	31.31361	175.92	151.17	2,424.4	1.2	0.92	-2.54	0.14	0.15
CPAR	11527M001	2020-07-07 00:00:00.0	50.03956	15.78325	283.341	239.236	2,368.7	1.8	-0.87	-0.01	0.21	0.2
CPAR	11527M001	2020-07-07 00:30:00.0	50.03956	15.78325	283.341	239.236	2,371.3	1.7	-1.31	-0.64	0.2	0.2
CPAR	11527M001	2020-07-07 01:00:00.0	50.03956	15.78325	283.349	239.244	2,353	1.3	-0.46	0.46	0.14	0.15
CRAK	11528M001	2020-07-07 00:00:00.0	50.10239	13.72925	381.952	336.114	2,332.4	1.5	-0.92	0.14	0.25	0.17
CRAK	11528M001	2020-07-07 00:30:00.0	50.10239	13.72925	381.952	336.114	2,334.1	1.4	-1.78	0.47	0.22	0.16
CRAK	11528M001	2020-07-07 01:00:00.0	50.10239	13.72925	381.953	336.115	2,326.4	1.1	-1.52	0.59	0.16	0.13
CZES	NDNT-CZES	2020-07-07 00:00:00.0	50.78419	19.15317	312.083	273.231	2,343.6	1.5	-1.51	2.28	0.18	0.16
CZES	NDNT-CZES	2020-07-07 00:30:00.0	50.78419	19.15317	312.083	273.231	2,349.7	1.5	-1.77	2.94	0.18	0.18
CZES	NDNT-CZES	2020-07-07 01:00:00.0	50.78419	19.15317	312.093	273.241	2,343.9	1.1	-1.42	0.93	0.13	0.13
DAB1	NDNT-DABT	2020-07-07 00:00:00.0	50.17606	20.992	249.903	212.866	2,409	1.3	-0.99	2.1	0.16	0.15
DAB1	NDNT-DABT	2020-07-07 00:30:00.0	50.17606	20.992	249.903	212.866	2,408	1.4	-0.89	1.04	0.17	0.17
DAB1	NDNT-DABT	2020-07-07 01:00:00.0	50.17606	20.992	249.894	212.857	2,405	1.1	-0.91	0.5	0.12	0.11
DEBI	NDNT-DEBI	2020-07-07 00:00:00.0	50.04361	21.41992	258.876	222.7	2,412	1.5	-1.87	0.84	0.18	0.16
DEBI	NDNT-DEBI	2020-07-07 00:30:00.0	50.04361	21.41992	258.876	222.7	2,404.7	1.4	-1.71	0.6	0.17	0.18
DEBI	NDNT-DEBI	2020-07-07 01:00:00.0	50.04361	21.41992	258.872	222.696	2,404.2	1.1	-1.24	0.51	0.13	0.11
DRWP	12243M001	2020-07-07 00:00:00.0	53.52633	15.81747	171.075	136.779	2,389.9	1.5	-0.3	0.62	0.21	0.19
DRWP	12243M001	2020-07-07 00:30:00.0	53.52633	15.81747	171.075	136.779	2,390.2	1.4	1.08	0.71	0.19	0.16
DRWP	12243M001	2020-07-07 01:00:00.0	53.52633	15.81747	171.081	136.785	2,378.8	1	0.08	-0.56	0.11	0.13
DYNW	NDNT-DYNW	2020-07-07 00:00:00.0	49.81286	22.22936	311.686	276.628	2,405.8	1.7	-2.34	1.3	0.21	0.25
DYNW	NDNT-DYNW	2020-07-07 00:30:00.0	49.81286	22.22936	311.686	276.628	2,406.5	1.8	-2.46	1.77	0.23	0.29
DYNW	NDNT-DYNW	2020-07-07 01:00:00.0	49.81286	22.22936	311.665	276.607	2,401.9	1.4	-1.45	0.13	0.15	0.22
DZIA	12244M001	2020-07-07 00:00:00.0	53.23033	20.16739	206.573	176.055	2,365.4	1.3	-0.7	0.93	0.17	0.15
DZIA	12244M001	2020-07-07 00:30:00.0	53.23033	20.16739	206.573	176.055	2,360.3	1.3	-1.29	1.04	0.17	0.17
DZIA	12244M001	2020-07-07 01:00:00.0	53.23033	20.16739	206.572	176.054	2,352.5	0.9	-0.92	0.65	0.12	0.1
ELBL	18991M001	2020-07-07 00:00:00.0	54.15556	19.40036	52.681	23.673	2,413.5	1.4	-2.23	1.14	0.17	0.18
ELBL	18991M001	2020-07-07 00:30:00.0	54.15556	19.40036	52.681	23.673	2,423.4	1.5	-1.57	0.36	0.19	0.2
ELBL	18991M001	2020-07-07 01:00:00.0	54.15556	19.40036	52.692	23.684	2,400.5	0.9	-0.56	-0.01	0.12	0.11
GDA1	12252M002	2020-07-07 00:00:00.0	54.35142	18.64108	63.167	33.935	2,408.3	1.5	0.61	0.37	0.19	0.18
GDA1	12252M002	2020-07-07 00:30:00.0	54.35142	18.64108	63.167	33.935	2,417.1	1.5	0.96	0.59	0.18	0.19
GDA1	12252M002	2020-07-07 01:00:00.0	54.35142	18.64108	63.171	33.939	2,409.5	1	0.3	0.04	0.12	0.13
GIZY	12253M001	2020-07-07 00:00:00.0	54.03578	21.76778	166.815	138.575	2,373.2	1.4	-0.93	0.99	0.17	0.19
GIZY	12253M001	2020-07-07 00:30:00.0	54.03578	21.76778	166.815	138.575	2,378.4	1.5	-1.36	1.75	0.18	0.21
GIZY	12253M001	2020-07-07 01:00:00.0	54.03578	21.76778	166.821	138.581	2,368.2	0.8	-0.68	0.72	0.11	0.11
GLIW	NDNT-GLIW	2020-07-07 00:00:00.0	50.22644	18.60972	284.032	242.456	2,373.3	1.8	-2.17	2.69	0.27	0.21
GLIW	NDNT-GLIW	2020-07-07 00:30:00.0	50.22644	18.60972	284.032	242.456	2,372.1	1.8	-2.56	3.13	0.25	0.24
GLIW	NDNT-GLIW	2020-07-07 01:00:00.0	50.22644	18.60972	284.037	242.461	2,363.7	1.3	-2.39	2.76	0.15	0.16
GLOG	12254M001	2020-07-07 00:00:00.0	51.66525	16.07428	144.424	104.581	2,400.3	1.5	-0.8	-0.02	0.2	0.18
GLOG	12254M001	2020-07-07 00:30:00.0	51.66525	16.07428	144.424	104.581	2,405.2	1.4	-0.47	-0.06	0.2	0.18
GLOG	12254M001	2020-07-07 01:00:00.0	51.66525	16.07428	144.422	104.579	2,396.3	1	-0.14	-0.11	0.13	0.14
GLSV	12356M001	2020-07-07 00:00:00.0	50.36419	30.49675	226.324	200.952	2,428.9	1.3	-1.03	-0.64	0.15	0.17
GLSV	12356M001	2020-07-07 00:30:00.0	50.36419	30.49675	226.324	200.952	2,432.2	1.4	-0.16	-0.92	0.16	0.19
GLSV	12356M001	2020-07-07 01:00:00.0	50.36419	30.49675	226.324	200.952	2,416.8	0.9	0.36	0.02	0.1	0.11
GLUB	NDNT-GLUB	2020-07-07 00:00:00.0	50.20236	17.81056	321.375	279.151	2,345.6	1.7	-0.87	1.41	0.21	0.18
GLUB	NDNT-GLUB	2020-07-07 00:30:00.0	50.20236	17.81056	321.375	279.151	2,343.8	1.6	-0.19	1.24	0.19	0.18
GLUB	NDNT-GLUB	2020-07-07 01:00:00.0	50.20236	17.81056	321.376	279.152	2,341.2	1.2	-0.88	1.99	0.14	0.13
GNIE	12255M001	2020-07-07 00:00:00.0	52.53294	17.58386	172.124	138.862	2,381.2	1.3	-0.99	0.58	0.18	0.16
GNIE	12255M001	2020-07-07 00:30:00.0	52.53294	17.58386	172.124	138.862	2,382.4	1.3	-1.45	0.84	0.19	0.14
GNIE	12255M001	2020-07-07 01:00:00.0	52.53294	17.58386	172.131	138.869	2,370	0.9	-1.57	1.21	0.12	0.13
GOLE	12256M001	2020-07-07 00:00:00.0	53.55872	14.838	68.863	33.686	2,410.1	1.7	-0.24	-0.11	0.24	0.21
GOLE	12256M001	2020-07-07 00:30:00.0	53.55872	14.838	68.863	33.686	2,402	1.6	-0.28	0.01	0.24	0.2
GOLE	12256M001	2020-07-07 01:00:00.0	53.55872	14.838	68.861	33.684	2,394.2	1	-0.24	0.35	0.14	0.12
GOPE	11502M002	2020-07-07 00:00:00.0	49.91369	14.78564	592.725	547.556	2,275.9	2.1	-0.29	-0.09	0.34	0.25
GOPE	11502M002	2020-07-07 00:30:00.0	49.91369	14.78564	592.725	547.556	2,273.7	2.1	-0.48	-0.4	0.32	0.24
GOPE	11502M002	2020-07-07 01:00:00.0	49.91369	14.78564	592.728	547.559	2,263.2	1.4	-0.01	0.26	0.17	0.15
GOR1	NDNT-GORL	2020-07-07 00:00:00.0	49.65586	21.13944	381.24	343.385	2,379.6	1.3	-0.34	0.28	0.17	0.15
GOR1	NDNT-GORL	2020-07-07 00:30:00.0	49.65586	21.13944	381.24	343.385	2,380.7	1.4	-0.84	1.38	0.17	0.17
GOR1	NDNT-GORL	2020-07-07 01:00:00.0	49.65586	21.13944	381.244	343.389	2,373	1.1	-0.74	0.7	0.12	0.11
GRAJ	12245M001	2020-07-07 00:00:00.0	53.65106	22.45231	165.188	136.672	2,379.8	1.6	-2.64	0.69	0.24	0.21
GRAJ	12245M001	2020-07-07 00:30:00.0	53.65106	22.45231	165.188	136.672	2,383	1.6	-2.59	0.93	0.25	0.24
GRAJ	12245M001	2020-07-07 01:00:00.0	53.65106	22.45231	165.193	136.677	2,371.9	1	-1.94	0.52	0.15	0.14
GWWL	12225M001	2020-07-07 00:00:00.0	52.73797	15.20522	127.164	90.875	2,398.3	1.4	-1.54	0.06	0.19	0.17
GWWL	12225M001	2020-07-07 00:30:00.0	52.73797	15.20522	127.164	90.875	2,393.5	1.4	-1.95	0.21	0.2	0.16
GWWL	12225M001	2020-07-07 01:00:00.0	52.73797	15.20522	127.161	90.872	2,381.5	1	-2.05	0.61	0.12	0.13
HAJN	12247M001	2020-07-07 00:00:00.0	52.74097	23.56589	196.625	168.354	2,389.7	1.5	-1.38	4.11	0.25	0.21
HAJN	12247M001	2020-07-07 00:30:00.0	52.74097	23.56589	196.625	168.354	2,401.3	1.4	-1.24	2.71	0.21	0.22
HAJN	12247M001	2020-07-07 01:00:00.0	52.74097	23.56589	196.627	168.356	2,390.3	1.1	-0.34	1.36	0.14	0.14
HOZD	12248M001	2020-07-07 00:00:00.0	50.18886	23.36225	298.867	266.996	2,437.8	1.6	-1.31	2.94	0.23	0.21
HOZD	12248M001	2020-07-07 00:30:00.0	50.18886	23.36225	298.867	266.996	2,428.3	1.7	-2.06	3.55	0.25	0.24
HOZD	12248M001	2020-07-07 01:00:00.0	50.18886	23.36225	298.862	266.991	2,415.8	1.4	-2.47	3.19	0.16	0.17
HRUB	12249M001	2020-07-07 00:00:00.0	50.80469	23.88628	234.454	204.526	2,455.4	1.8	-1.24	-2.34	0.29	0.25
HRUB	12249M001	2020-07-07 00:30:00.0	50.80469	23.88628	234.454	204.526	2,444.5	1.7	0	-1.23	0.25	0.25
HRUB	12249M001	2020-07-07 01:00:00.0	50.80469	23.88628	234.428	204.5	2,430.4	1.4	-3	0.57	0.18	0.15
IGEO	15101M001	2020-07-07 00:00:00.0	47.03036	28.84353	105.889	74.65	2,482.1	1.4	-0.07	1.64	0.16	0.17
IGEO	15101M001	2020-07-07 00:30:00.0	47.03036	28.84353	105.889	74.65	2,485.6	1.5	1	-0.68	0.19	0.21
IGEO	15101M001	2020-07-07 01:00:00.0	47.03036	28.84353	105.881	74.642	2,473.2	1.3	1.27	0.61	0.16	0.14
ILAW	12250M001	2020-07-07 00:00:00.0	53.58714	19.56797	162.811	133.327	2,378.7	1.2	-1.08	1.23	0.13	0.12
ILAW	12250M001	2020-07-07 00:30:00.0	53.58714	19.56797	162.811	133.327	2,373.8	1.2	-0.76	1	0.14	0.13
ILAW	12250M001	2020-07-07 01:00:00.0	53.58714	19.56797	162.817	133.333	2,367.4	0.8	-0.73	0.25	0.08	0.09
JAR1	NDNT-JARO	2020-07-07 00:00:00.0	50.01719	22.67853	268.95	235.111	2,424.2	1.1	-1.46	1.19	0.13	0.12
JAR1	NDNT-JARO	2020-07-07 00:30:00.0	50.01719	22.67853	268.95	235.111	2,402.3	1.2	-1.52	1.52	0.13	0.14
JAR1	NDNT-JARO	2020-07-07 01:00:00.0	50.01719	22.67853	268.932	235.093	2,414.7	1.1	-1.76	0.48	0.11	0.1
JAST	NDNT-JAST	2020-07-07 00:00:00.0	49.95256	18.61192	342.804	300.531	2,360.9	1.4	-1.77	1.15	0.16	0.14
JAST	NDNT-JAST	2020-07-07 00:30:00.0	49.95256	18.61192	342.804	300.531	2,363.2	1.4	-2.44	0.97	0.15	0.14
JAST	NDNT-JAST	2020-07-07 01:00:00.0	49.95256	18.61192	342.81	300.537	2,357.7	1.2	-2.08	1.81	0.14	0.12
JEDR	NDNT-JEDR	2020-07-07 00:00:00.0	50.64175	20.30078	297.604	259.865	2,377.2	1.3	-1.87	1.45	0.16	0.15
JEDR	NDNT-JEDR	2020-07-07 00:30:00.0	50.64175	20.30078	297.604	259.865	2,372.4	1.3	-2.21	2.55	0.17	0.16
JEDR	NDNT-JEDR	2020-07-07 01:00:00.0	50.64175	20.30078	297.606	259.867	2,363.5	0.9	-2.57	1.55	0.1	0.09
JLGR	12251M001	2020-07-07 00:00:00.0	50.91947	15.73325	408.195	365.343	2,327.6	1.5	-0.74	0.34	0.25	0.18
JLGR	12251M001	2020-07-07 00:30:00.0	50.91947	15.73325	408.195	365.343	2,324.7	1.4	-0.79	0.26	0.22	0.15
JLGR	12251M001	2020-07-07 01:00:00.0	50.91947	15.73325	408.192	365.34	2,317	1.1	-0.23	0.06	0.16	0.13
JOZ2	12204M002	2020-07-07 00:00:00.0	52.09783	21.03236	152.509	120.87	2,394.3	1.6	-0.91	1.81	0.22	0.22
JOZ2	12204M002	2020-07-07 00:30:00.0	52.09783	21.03236	152.509	120.87	2,388	1.8	-1.42	1.56	0.25	0.24
JOZ2	12204M002	2020-07-07 01:00:00.0	52.09783	21.03236	152.518	120.879	2,379.7	1	-1.2	1.85	0.14	0.12
JOZE	12204M001	2020-07-07 00:00:00.0	52.09728	21.03156	141.612	109.971	2,401.8	1.7	-0.91	1.56	0.27	0.23
JOZE	12204M001	2020-07-07 00:30:00.0	52.09728	21.03156	141.612	109.971	2,396.9	1.9	-0.98	1.2	0.31	0.28
JOZE	12204M001	2020-07-07 01:00:00.0	52.09728	21.03156	141.62	109.979	2,385.3	1.3	-1.62	1.78	0.24	0.17
KALI	12257M001	2020-07-07 00:00:00.0	51.75389	18.09517	147.738	111.74	2,387.7	1.7	-0.92	0.98	0.24	0.19
KALI	12257M001	2020-07-07 00:30:00.0	51.75389	18.09517	147.738	111.74	2,391.1	1.6	-0.81	0.3	0.21	0.18
KALI	12257M001	2020-07-07 01:00:00.0	51.75389	18.09517	147.742	111.744	2,380.8	1.2	-2.01	1.57	0.15	0.13
KAM1	12258M001	2020-07-07 00:00:00.0	53.96306	14.77739	57.763	22.813	2,401.7	1.7	-0.69	0.58	0.25	0.22
KAM1	12258M001	2020-07-07 00:30:00.0	53.96306	14.77739	57.763	22.813	2,410.8	1.7	0.04	0.87	0.25	0.22
KAM1	12258M001	2020-07-07 01:00:00.0	53.96306	14.77739	57.765	22.815	2,402.6	1.1	0.3	0.81	0.15	0.13
KATO	12219S001	2020-07-07 00:00:00.0	50.25328	19.03564	332.88	291.615	2,354.4	1.5	-2.37	1.28	0.18	0.16
KATO	12219S001	2020-07-07 00:30:00.0	50.25328	19.03564	332.88	291.615	2,356.2	1.5	-2.62	1.37	0.17	0.18
KATO	12219S001	2020-07-07 01:00:00.0	50.25328	19.03564	332.88	291.615	2,348.3	1.1	-2.59	1.42	0.12	0.11
KAZ1	NDNT-KAZA	2020-07-07 00:00:00.0	50.30422	20.45164	261.172	222.969	2,399	1.2	-1.54	1.1	0.14	0.13
KAZ1	NDNT-KAZA	2020-07-07 00:30:00.0	50.30422	20.45164	261.172	222.969	2,401.2	1.2	-1.34	1.3	0.14	0.14
KAZ1	NDNT-KAZA	2020-07-07 01:00:00.0	50.30422	20.45164	261.173	222.97	2,393.3	1.1	-1.93	1.06	0.12	0.12
KEPN	12259M001	2020-07-07 00:00:00.0	51.28017	17.98358	220.288	181.801	2,370	1.7	0.09	0.87	0.21	0.18
KEPN	12259M001	2020-07-07 00:30:00.0	51.28017	17.98358	220.288	181.801	2,366.5	1.6	-0.31	0.47	0.21	0.18
KEPN	12259M001	2020-07-07 01:00:00.0	51.28017	17.98358	220.293	181.806	2,358.5	1.1	-0.88	1.84	0.13	0.12
KES1	MUSE-KES1	2020-07-07 00:00:00.0	50.27158	19.02614	339.93	298.718	2,355.4	1.9	-2.79	0.91	0.22	0.26
KES1	MUSE-KES1	2020-07-07 00:30:00.0	50.27158	19.02614	339.93	298.718	2,357.6	1.7	-2.67	0.83	0.2	0.22
KES1	MUSE-KES1	2020-07-07 01:00:00.0	50.27158	19.02614	339.928	298.716	2,349.2	1.3	-2.85	1.4	0.18	0.16
KILE	NDNT-KIEL	2020-07-07 00:00:00.0	50.90847	20.66397	364.632	328.071	2,360.6	1.3	-1.59	1.47	0.17	0.15
KILE	NDNT-KIEL	2020-07-07 00:30:00.0	50.90847	20.66397	364.632	328.071	2,357.4	1.4	-1.05	2.25	0.18	0.16
KILE	NDNT-KIEL	2020-07-07 01:00:00.0	50.90847	20.66397	364.632	328.071	2,346.4	1.1	-1.37	1.61	0.12	0.13
KLCE	12260M001	2020-07-07 00:00:00.0	50.87575	20.62967	333.558	296.866	2,362.5	1.3	-1.57	1.6	0.17	0.15
KLCE	12260M001	2020-07-07 00:30:00.0	50.87575	20.62967	333.558	296.866	2,363	1.4	-1.77	2.01	0.18	0.16
KLCE	12260M001	2020-07-07 01:00:00.0	50.87575	20.62967	333.559	296.867	2,353.8	1.1	-1.86	1.57	0.12	0.13
KLDZ	12261M001	2020-07-07 00:00:00.0	50.43558	16.65189	359.554	316.314	2,339.7	1.7	-0.62	0.55	0.2	0.19
KLDZ	12261M001	2020-07-07 00:30:00.0	50.43558	16.65189	359.554	316.314	2,336.2	1.6	-0.87	-0.03	0.2	0.18
KLDZ	12261M001	2020-07-07 01:00:00.0	50.43558	16.65189	359.557	316.317	2,330.7	1.3	-0.43	0.75	0.14	0.13
KLOB	12219M001	2020-07-07 00:00:00.0	50.90553	18.93689	301.638	262.934	2,337.8	1.5	-1.22	1.07	0.2	0.17
KLOB	12219M001	2020-07-07 00:30:00.0	50.90553	18.93689	301.638	262.934	2,338.4	1.5	-1.24	0.09	0.19	0.18
KLOB	12219M001	2020-07-07 01:00:00.0	50.90553	18.93689	301.636	262.932	2,344.2	1.1	-1.4	0.82	0.13	0.12
